Kind,Name,MaxNesting,SumCyclomatic,AvgCyclomatic,MaxCyclomatic
Public Class,"org.apache.commons.codec.StringEncoderComparatorTest",1,4,1,2
Public Method,"org.apache.commons.codec.StringEncoderComparatorTest.testComparatorWithDoubleMetaphone",1,2,,
Public Method,"org.apache.commons.codec.StringEncoderComparatorTest.testComparatorWithDoubleMetaphoneAndInvalidInput",0,1,,
Public Method,"org.apache.commons.codec.StringEncoderComparatorTest.testComparatorWithSoundex",0,1,,
Package,"org.apache.commons.codec.binary",4,995,1,16
Public Class,"org.apache.commons.codec.binary.AllocateDirectHexTest",0,1,1,1
Protected Method,"org.apache.commons.codec.binary.AllocateDirectHexTest.allocate",0,1,,
Public Class,"org.apache.commons.codec.binary.Base16",2,24,3,9
Public Constructor,"org.apache.commons.codec.binary.Base16.Base16",1,2,,
Public Constructor,"org.apache.commons.codec.binary.Base16.Base16",0,1,,
Public Constructor,"org.apache.commons.codec.binary.Base16.Base16",0,1,,
Method,"org.apache.commons.codec.binary.Base16.decode",2,9,,
Private Method,"org.apache.commons.codec.binary.Base16.decodeOctet",1,3,,
Method,"org.apache.commons.codec.binary.Base16.encode",1,5,,
Public Method,"org.apache.commons.codec.binary.Base16.isInAlphabet",0,1,,
Private Method,"org.apache.commons.codec.binary.Base16.validateTrailingCharacter",1,2,,
Public Class,"org.apache.commons.codec.binary.Base16InputStream",0,4,1,1
Public Constructor,"org.apache.commons.codec.binary.Base16InputStream.Base16InputStream",0,1,,
Public Constructor,"org.apache.commons.codec.binary.Base16InputStream.Base16InputStream",0,1,,
Public Constructor,"org.apache.commons.codec.binary.Base16InputStream.Base16InputStream",0,1,,
Public Constructor,"org.apache.commons.codec.binary.Base16InputStream.Base16InputStream",0,1,,
Public Class,"org.apache.commons.codec.binary.Base16InputStreamTest",2,28,1,4
Public Method,"org.apache.commons.codec.binary.Base16InputStreamTest.testAvailable",1,1,,
Public Method,"org.apache.commons.codec.binary.Base16InputStreamTest.testBase16EmptyInputStream",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16InputStreamTest.testBase16InputStreamByChunk",1,2,,
Public Method,"org.apache.commons.codec.binary.Base16InputStreamTest.testBase16InputStreamByteByByte",1,2,,
Private Method,"org.apache.commons.codec.binary.Base16InputStreamTest.testByChunk",0,1,,
Private Method,"org.apache.commons.codec.binary.Base16InputStreamTest.testByChunk",1,1,,
Private Method,"org.apache.commons.codec.binary.Base16InputStreamTest.testByteByByte",0,1,,
Private Method,"org.apache.commons.codec.binary.Base16InputStreamTest.testByteByByte",2,4,,
Public Method,"org.apache.commons.codec.binary.Base16InputStreamTest.testMarkSupported",1,1,,
Public Method,"org.apache.commons.codec.binary.Base16InputStreamTest.testRead0",1,1,,
Public Method,"org.apache.commons.codec.binary.Base16InputStreamTest.testReadNull",1,2,,
Lambda Method,"org.apache.commons.codec.binary.Base16InputStreamTest.testReadNull.(lambda_expr_1)",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16InputStreamTest.testReadOutOfBounds",1,5,,
Lambda Method,"org.apache.commons.codec.binary.Base16InputStreamTest.testReadOutOfBounds.(lambda_expr_1)",0,1,,
Lambda Method,"org.apache.commons.codec.binary.Base16InputStreamTest.testReadOutOfBounds.(lambda_expr_2)",0,1,,
Lambda Method,"org.apache.commons.codec.binary.Base16InputStreamTest.testReadOutOfBounds.(lambda_expr_3)",0,1,,
Lambda Method,"org.apache.commons.codec.binary.Base16InputStreamTest.testReadOutOfBounds.(lambda_expr_4)",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16InputStreamTest.testSkipBig",1,1,,
Public Method,"org.apache.commons.codec.binary.Base16InputStreamTest.testSkipNone",1,1,,
Public Method,"org.apache.commons.codec.binary.Base16InputStreamTest.testSkipPastEnd",1,1,,
Public Method,"org.apache.commons.codec.binary.Base16InputStreamTest.testSkipToEnd",1,1,,
Public Method,"org.apache.commons.codec.binary.Base16InputStreamTest.testSkipWrongArgument",1,2,,
Lambda Method,"org.apache.commons.codec.binary.Base16InputStreamTest.testSkipWrongArgument.(lambda_expr_1)",0,1,,
Public Class,"org.apache.commons.codec.binary.Base16OutputStream",0,4,1,1
Public Constructor,"org.apache.commons.codec.binary.Base16OutputStream.Base16OutputStream",0,1,,
Public Constructor,"org.apache.commons.codec.binary.Base16OutputStream.Base16OutputStream",0,1,,
Public Constructor,"org.apache.commons.codec.binary.Base16OutputStream.Base16OutputStream",0,1,,
Public Constructor,"org.apache.commons.codec.binary.Base16OutputStream.Base16OutputStream",0,1,,
Public Class,"org.apache.commons.codec.binary.Base16OutputStreamTest",2,20,1,5
Public Method,"org.apache.commons.codec.binary.Base16OutputStreamTest.testBase16EmptyOutputStream",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16OutputStreamTest.testBase16OutputStreamByChunk",1,2,,
Public Method,"org.apache.commons.codec.binary.Base16OutputStreamTest.testBase16OutputStreamByteByByte",1,2,,
Private Method,"org.apache.commons.codec.binary.Base16OutputStreamTest.testByChunk",0,1,,
Private Method,"org.apache.commons.codec.binary.Base16OutputStreamTest.testByChunk",1,1,,
Private Method,"org.apache.commons.codec.binary.Base16OutputStreamTest.testByteByByte",0,1,,
Private Method,"org.apache.commons.codec.binary.Base16OutputStreamTest.testByteByByte",2,5,,
Public Method,"org.apache.commons.codec.binary.Base16OutputStreamTest.testWriteOutOfBounds",1,5,,
Lambda Method,"org.apache.commons.codec.binary.Base16OutputStreamTest.testWriteOutOfBounds.(lambda_expr_1)",0,1,,
Lambda Method,"org.apache.commons.codec.binary.Base16OutputStreamTest.testWriteOutOfBounds.(lambda_expr_2)",0,1,,
Lambda Method,"org.apache.commons.codec.binary.Base16OutputStreamTest.testWriteOutOfBounds.(lambda_expr_3)",0,1,,
Lambda Method,"org.apache.commons.codec.binary.Base16OutputStreamTest.testWriteOutOfBounds.(lambda_expr_4)",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16OutputStreamTest.testWriteToNullCoverage",1,2,,
Lambda Method,"org.apache.commons.codec.binary.Base16OutputStreamTest.testWriteToNullCoverage.(lambda_expr_1)",0,1,,
Public Class,"org.apache.commons.codec.binary.Base16Test",2,52,1,7
Public Method,"org.apache.commons.codec.binary.Base16Test.checkEncodeLengthBounds",0,2,,
Lambda Method,"org.apache.commons.codec.binary.Base16Test.checkEncodeLengthBounds.(lambda_expr_1)",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.getRandom",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testBase16",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testBase16AtBufferEnd",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testBase16AtBufferMiddle",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testBase16AtBufferStart",0,1,,
Private Method,"org.apache.commons.codec.binary.Base16Test.testBase16InBuffer",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testByteToStringVariations",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testCodec68",0,2,,
Lambda Method,"org.apache.commons.codec.binary.Base16Test.testCodec68.(lambda_expr_1)",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testConstructor_LowerCase",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testConstructor_LowerCase_DecodingPolicy",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testConstructors",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testDecodeSingleBytes",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testDecodeSingleBytesOptimisation",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testEmptyBase16",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testEncodeDecodeRandom",1,2,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testEncodeDecodeSmall",1,2,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testIsInAlphabet",1,7,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testKnownDecodings",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testKnownEncodings",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testLenientDecoding",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testNonBase16Test",1,3,,
Lambda Method,"org.apache.commons.codec.binary.Base16Test.testNonBase16Test.(lambda_expr_1)",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testObjectDecodeWithInvalidParameter",0,2,,
Lambda Method,"org.apache.commons.codec.binary.Base16Test.testObjectDecodeWithInvalidParameter.(lambda_expr_1)",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testObjectDecodeWithValidParameter",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testObjectEncode",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testObjectEncodeWithInvalidParameter",0,2,,
Lambda Method,"org.apache.commons.codec.binary.Base16Test.testObjectEncodeWithInvalidParameter.(lambda_expr_1)",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testObjectEncodeWithValidParameter",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testPairs",1,2,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testSingletons",1,2,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testStrictDecoding",0,2,,
Lambda Method,"org.apache.commons.codec.binary.Base16Test.testStrictDecoding.(lambda_expr_1)",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testStringToByteVariations",0,1,,
Public Method,"org.apache.commons.codec.binary.Base16Test.testTriplets",0,1,,
Private Method,"org.apache.commons.codec.binary.Base16Test.toString",2,3,,
Public Class,"org.apache.commons.codec.binary.Base16TestData",0,0,0,0
Public Class,"org.apache.commons.codec.binary.Base32",4,50,3,16
Public Constructor,"org.apache.commons.codec.binary.Base32.Base32",0,1,,
Public Constructor,"org.apache.commons.codec.binary.Base32.Base32",0,1,,
Public Constructor,"org.apache.commons.codec.binary.Base32.Base32",0,1,,
Public Constructor,"org.apache.commons.codec.binary.Base32.Base32",0,1,,
Public Constructor,"org.apache.commons.codec.binary.Base32.Base32",0,1,,
Public Constructor,"org.apache.commons.codec.binary.Base32.Base32",0,1,,
Public Constructor,"org.apache.commons.codec.binary.Base32.Base32",0,1,,
Public Constructor,"org.apache.commons.codec.binary.Base32.Base32",0,1,,
Public Constructor,"org.apache.commons.codec.binary.Base32.Base32",2,7,,
Method,"org.apache.commons.codec.binary.Base32.decode",4,16,,
Method,"org.apache.commons.codec.binary.Base32.encode",4,14,,
Public Method,"org.apache.commons.codec.binary.Base32.isInAlphabet",0,1,,
Private Method,"org.apache.commons.codec.binary.Base32.validateCharacter",1,2,,
Private Method,"org.apache.commons.codec.binary.Base32.validateTrailingCharacters",1,2,,
Public Class,"org.apache.commons.codec.binary.Base32InputStream",0,4,1,1
Public Constructor,"org.apache.commons.codec.binary.Base32InputStream.Base32InputStream",0,1,,
Public Constructor,"org.apache.commons.codec.binary.Base32InputStream.Base32InputStream",0,1,,
Public Constructor,"org.apache.commons.codec.binary.Base32InputStream.Base32InputStream",0,1,,
Public Constructor,"org.apache.commons.codec.binary.Base32InputStream.Base32InputStream",0,1,,
Public Class,"org.apache.commons.codec.binary.Base32InputStreamTest",2,36,1,5
Public Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testAvailable",1,1,,
Private Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testBase32EmptyInputStream",0,1,,
Public Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testBase32EmptyInputStreamMimeChuckSize",0,1,,
Public Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testBase32EmptyInputStreamPemChuckSize",0,1,,
Public Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testBase32InputStreamByChunk",1,2,,
Public Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testBase32InputStreamByteByByte",1,2,,
