Kind,Name,MaxNesting,SumCyclomatic,AvgCyclomatic,MaxCyclomatic
File,"StandardLineSeparator.java",0,5,1,1
File,"StandardLineSeparatorTest.java",0,6,1,1
File,"StreamIterator.java",1,7,1,2
File,"StringBuilderWriter.java",1,15,1,2
File,"StringBuilderWriterTest.java",2,13,1,2
File,"StringInputStream.java",0,5,1,1
File,"StringInputStreamTest.java",1,2,1,1
File,"SuffixFileFilter.java",3,16,1,4
File,"SwappedDataInputStream.java",2,18,1,3
File,"SwappedDataInputStreamTest.java",1,19,1,2
File,"SymbolicLinkFileFilter.java",0,4,1,1
File,"SymbolicLinkFileFilterTest.java",0,1,1,1
File,"TaggedIOException.java",1,6,1,2
File,"TaggedIOExceptionTest.java",0,1,1,1
File,"TaggedInputStream.java",0,4,1,1
File,"TaggedInputStreamTest.java",2,10,2,7
File,"TaggedOutputStream.java",0,4,1,1
File,"TaggedOutputStreamTest.java",2,12,4,7
File,"TaggedReader.java",0,4,1,1
File,"TaggedReaderTest.java",2,10,2,7
File,"TaggedWriter.java",0,4,1,1
File,"TaggedWriterTest.java",2,12,4,7
File,"Tailer.java",5,70,1,16
File,"TailerListener.java",0,0,0,0
File,"TailerListenerAdapter.java",0,6,1,1
File,"TailerTest.java",4,61,1,4
File,"TeeInputStream.java",1,10,1,2
File,"TeeInputStreamTest.java",1,13,1,3
File,"TeeOutputStream.java",1,6,1,1
File,"TeeOutputStreamTest.java",2,10,2,4
File,"TeeReader.java",2,12,1,2
File,"TeeReaderTest.java",1,14,1,3
File,"TeeWriter.java",0,2,1,1
File,"TeeWriterTest.java",2,50,2,7
File,"TestArguments.java",0,5,1,1
File,"TestResources.java",0,5,1,1
File,"TestUtils.java",3,33,1,3
File,"ThreadMonitor.java",1,11,1,2
File,"ThreadMonitorTest.java",1,8,1,2
File,"ThresholdingOutputStream.java",1,20,1,3
File,"ThresholdingOutputStreamTest.java",1,16,1,1
File,"ThrowOnCloseInputStream.java",0,3,1,1
File,"ThrowOnCloseOutputStream.java",0,3,1,1
File,"ThrowOnCloseReader.java",0,3,1,1
File,"ThrowOnCloseWriter.java",0,3,1,1
File,"ThrowOnFlushAndCloseOutputStream.java",1,6,1,2
File,"TimestampedObserver.java",0,6,1,1
File,"TimestampedObserverTest.java",1,2,1,1
File,"TrueFileFilter.java",0,8,1,1
File,"UncheckedAppendable.java",0,1,1,1
File,"UncheckedAppendableImpl.java",1,8,1,2
File,"UncheckedAppendableTest.java",1,11,1,2
File,"UncheckedBufferedReader.java",1,24,1,2
File,"UncheckedBufferedReaderTest.java",1,32,1,1
File,"UncheckedFilterInputStream.java",1,17,1,2
File,"UncheckedFilterInputStreamTest.java",1,20,1,1
File,"UncheckedFilterOutputStream.java",1,13,1,2
File,"UncheckedFilterOutputStreamTest.java",0,19,1,1
File,"UncheckedFilterReader.java",1,21,1,2
File,"UncheckedFilterReaderTest.java",1,28,1,1
File,"UncheckedFilterWriter.java",1,23,1,2
File,"UncheckedFilterWriterTest.java",0,40,1,1
File,"UncheckedIOExceptions.java",0,2,1,1
File,"UncheckedIOExceptionsTest.java",1,4,2,2
File,"UnixLineEndingInputStream.java",1,13,2,5
File,"UnixLineEndingInputStreamTest.java",0,10,1,1
File,"UnsupportedOperationExceptions.java",0,3,1,1
File,"UnsynchronizedByteArrayInputStream.java",1,24,2,5
File,"UnsynchronizedByteArrayInputStreamTest.java",0,24,1,1
File,"UnsynchronizedByteArrayOutputStream.java",1,15,1,3
File,"ValidatingObjectInputStream.java",2,21,1,6
File,"ValidatingObjectInputStreamTest.java",1,33,1,2
File,"WildcardClassNameMatcher.java",0,2,1,1
File,"WildcardClassNameMatcherTest.java",0,3,1,1
File,"WildcardFileFilter.java",2,15,1,3
File,"WildcardFileFilterTest.java",0,4,1,1
File,"WildcardFilter.java",2,15,2,4
File,"WindowsLineEndingInputStream.java",1,14,2,5
File,"WindowsLineEndingInputStreamTest.java",1,9,1,1
File,"WriterOutputStream.java",2,25,1,5
File,"WriterOutputStreamTest.java",2,29,1,3
File,"XmlStreamReader.java",3,87,3,15
File,"XmlStreamReader.java",3,73,3,14
File,"XmlStreamReaderException.java",0,3,1,1
File,"XmlStreamReaderException.java",0,7,1,1
